PROJECT_ID,TITLE,DONOR_IATI_CODE,DONOR,COUNTRY_IATI_CODE,COUNTRY,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,LATITUDE,LONGITUDE,GEONAME_ID,GEONAME,PRECISION_CODE,LOCATION_TYPE,SOURCE_URL,SOURCE,INTERNAL_NOTES,LOCATION_ACTIVITY_DESCRIPTION,,,,
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2368,Region XIII (Caraga),24278,Surigao Del Sur,8.96667,126.26667,1725910,Bayabas,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67159,Region IX (Zamboanga Peninsula),67164,Zamboanga Del Sur,7.86667,123.06667,1725747,Bayog,1,populated place,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2363,Region VII (Central Visayas),24252,Bohol,10.13729,124.37761,1725412,Bien Unido,1,populated place,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67167,Region IV-B (Mimaropa),24232,Mindoro Oriental,12.71667,121.36667,1724105,Bongabong,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67167,Region IV-B (Mimaropa),24230,Marinduque,13.25,121.96667,1723487,Buenavista,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67167,Region IV-B (Mimaropa),24232,Mindoro Oriental,12.33333,121.33333,1723004,Bulalakao,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67166,Region IV-A (Calabarzon),24234,Quezon,14.91667,122.01667,1722468,Burdeos,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2364,Region VIII (Eastern Visayas),24256,Biliran,11.51667,124.56667,1721471,Cabucgayan,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2364,Region VIII (Eastern Visayas),24256,Biliran,11.55,124.55,1720872,Caibiran,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67167,Region IV-B (Mimaropa),24236,Romblon,12.4,122.63333,1720824,Cajidiocan,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2362,Region VI (Western Visayas),24250,Iloilo,11.13333,122.5,1720276,Calinog,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
